昵称,地区,性别,粉丝数,用户发布微博数量,评论
jing8903,其他,女,47,3416,"<a href=""//s.weibo.com/weibo?q=%23%E6%98%A5%E6%99%9A%E9%83%BD%E5%8E%BB%E8%A5%BF%E8%97%8F%E4%BA%86%E6%88%91%E4%B9%9F%E8%A6%81%E5%8E%BB%23"" target=""_blank"">#春晚都去西藏了我也要去#</a><a href=""//s.weibo.com/weibo?q=%23%E9%99%88%E4%B8%BD%E5%90%9B%23"" target=""_blank"">#陈丽君#</a>  君君去过的地方，我也好想去<img alt=""[送花花]"" title=""[送花花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/cb/2022_Flowers_org.png"" />"
食人间烟火甄惜日常,四川 成都,女,20,1001,"<a href=""//s.weibo.com/weibo?q=%23%E9%99%88%E4%B8%BD%E5%90%9B%23"" target=""_blank"">#陈丽君#</a> 我也想去"
尼山69_55456,辽宁 葫芦岛,女,52,6164,"<a href=""//s.weibo.com/weibo?q=%23%E6%98%A5%E6%99%9A%E9%83%BD%E5%8E%BB%E8%A5%BF%E8%97%8F%E4%BA%86%E6%88%91%E4%B9%9F%E8%A6%81%E5%8E%BB%23"" target=""_blank"">#春晚都去西藏了我也要去#</a><a href=""//s.weibo.com/weibo?q=%23%E9%99%88%E4%B8%BD%E5%90%9B%23"" target=""_blank"">#陈丽君#</a>  君君去过的地方，我也好想去<img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" /><img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" />"
网信昌都,西藏 昌都,男,1217,880,转发微博
小啵啋,山西 大同,女,543,8425,"我也想去<img alt=""[哇]"" title=""[哇]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/3d/2022_wow_org.png"" /><a href=/n/陈丽君_点绛唇 usercard=""name=@陈丽君_点绛唇"">@陈丽君_点绛唇</a>"
想见何大人,广东 深圳,男,41,2259,"君君去过了 我也要去<img alt=""[送花花]"" title=""[送花花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/cb/2022_Flowers_org.png"" /><img alt=""[送花花]"" title=""[送花花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/cb/2022_Flowers_org.png"" /><img alt=""[送花花]"" title=""[送花花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/cb/2022_Flowers_org.png"" /><img alt=""[送花花]"" title=""[送花花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/cb/2022_Flowers_org.png"" />"
哥斯拉Sj不高兴,云南,女,6,1161,"<a href=""//s.weibo.com/weibo?q=%23%E6%98%A5%E6%99%9A%E9%83%BD%E5%8E%BB%E8%A5%BF%E8%97%8F%E4%BA%86%E6%88%91%E4%B9%9F%E8%A6%81%E5%8E%BB%23"" target=""_blank"">#春晚都去西藏了我也要去#</a><a href=""//s.weibo.com/weibo?q=%23%E9%99%88%E4%B8%BD%E5%90%9B%23"" target=""_blank"">#陈丽君#</a>  君君去过西藏，我也好想去西藏<img alt=""[太开心]"" title=""[太开心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/1e/2018new_taikaixin_org.png"" /><img alt=""[太开心]"" title=""[太开心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/1e/2018new_taikaixin_org.png"" /><img alt=""[太开心]"" title=""[太开心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/1e/2018new_taikaixin_org.png"" />"
lin1971ty,其他,男,23,2473,"<a href=""//s.weibo.com/weibo?q=%23%E6%98%A5%E6%99%9A%E9%83%BD%E5%8E%BB%E8%A5%BF%E8%97%8F%E4%BA%86%E6%88%91%E4%B9%9F%E8%A6%81%E5%8E%BB%23"" target=""_blank"">#春晚都去西藏了我也要去#</a><a href=""//s.weibo.com/weibo?q=%23%E9%99%88%E4%B8%BD%E5%90%9B%23"" target=""_blank"">#陈丽君#</a>  君君去过的地方，我也好想去<img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" /><img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" />"
马卜卜最胖,湖南 永州,女,25,1810,"<a href=""//s.weibo.com/weibo?q=%23%E6%98%A5%E6%99%9A%E9%83%BD%E5%8E%BB%E8%A5%BF%E8%97%8F%E4%BA%86%E6%88%91%E4%B9%9F%E8%A6%81%E5%8E%BB%23"" target=""_blank"">#春晚都去西藏了我也要去#</a>好欢乐<a href=""//s.weibo.com/weibo?q=%23%E9%99%88%E4%B8%BD%E5%90%9B%23"" target=""_blank"">#陈丽君#</a>  君君去过的地方，我也想去<img alt=""[憧憬]"" title=""[憧憬]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/c9/2018new_chongjing_org.png"" />"
时间不语123,山西 临汾,男,36,432,"<img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" /><img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" /><img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" /><img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" /><img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" /><img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" /><img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" /><img alt=""[good]"" title=""[good]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_good_org.png"" /><img alt=""[good]"" title=""[good]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_good_org.png"" /><img alt=""[good]"" title=""[good]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_good_org.png"" /><img alt=""[good]"" title=""[good]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_good_org.png"" /><img alt=""[good]"" title=""[good]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_good_org.png"" /><img alt=""[good]"" title=""[good]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_good_org.png"" /><img alt=""[good]"" title=""[good]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_good_org.png"" /><img alt=""[good]"" title=""[good]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_good_org.png"" />"
眯起眼睛笑啊笑,浙江 杭州,女,455,2017,"来了来了，下周就到拉萨啦<img alt=""[爱你]"" title=""[爱你]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/f6/2018new_aini_org.png"" /><img alt=""[爱你]"" title=""[爱你]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/f6/2018new_aini_org.png"" /><img alt=""[爱你]"" title=""[爱你]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/f6/2018new_aini_org.png"" />"
开心_这真的很重要,其他,女,2,358,"<img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" /><img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" /><img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" />"
Lancyfashion,广东 深圳,女,21,273,"<a href=""//s.weibo.com/weibo?q=%23%E6%98%A5%E6%99%9A%E9%83%BD%E5%8E%BB%E8%A5%BF%E8%97%8F%E4%BA%86%E6%88%91%E4%B9%9F%E8%A6%81%E5%8E%BB%23"" target=""_blank"">#春晚都去西藏了我也要去#</a><a href=""//s.weibo.com/weibo?q=%23%E9%99%88%E4%B8%BD%E5%90%9B%23"" target=""_blank"">#陈丽君#</a>  啊君君去过的地方，我也好想去<img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" /><img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" />"
那就不檀恋爱檀人生,山西,女,51,214,"<a href=/n/MIC檀健次JC-T usercard=""name=@MIC檀健次JC-T"">@MIC檀健次JC-T</a> 你不是想去西藏嘛<img alt=""[老师爱你]"" title=""[老师爱你]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/82/2023_Teacherlovesyou_org.png"" />"
花果山-Easy,浙江 温州,女,25,3819,"<a href=""//s.weibo.com/weibo?q=%23%E6%98%A5%E6%99%9A%E9%83%BD%E5%8E%BB%E8%A5%BF%E8%97%8F%E4%BA%86%E6%88%91%E4%B9%9F%E8%A6%81%E5%8E%BB%23"" target=""_blank"">#春晚都去西藏了我也要去#</a><a href=""//s.weibo.com/weibo?q=%23%E9%99%88%E4%B8%BD%E5%90%9B%23"" target=""_blank"">#陈丽君#</a>  君君去过的地方，我也好想去<img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" /><img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" />"
自来熟的东北银,辽宁 鞍山,女,122,73,哪都想去！有钱嘛你？
冥雨熙Libera,浙江 杭州,女,223,3891,想去，但是单位不批假
茄子炖土豆哈,其他,女,39,1260,"<a target=""_blank"" href=""https://weibo.com/p/100808e80ddd1f7ca41cb4c8a605cb3c46d560""><img class=""icon-link"" title=""#春晚都去西藏了我也要去[超话]#"" src=""https://h5.sinaimg.cn/upload/100/959/2020/05/09/timeline_card_small_super_default.png""/>春晚都去西藏了我也要去超话</a>我就不去了，怕高反"
是一是二,浙江,男,337,214,因为2025年是西藏自治区成立60周年
莞莞-k,山东,女,49,239,因为君君去过了对西藏又增添了一份滤镜
田丹的阿伏,广东 深圳,女,80,1626,君君去了西藏，我也好想去
这个世界什么时候会变好,浙江 杭州,男,167,1941,你去那我也要去
penny楷,其他,女,19,65,"跟着陈丽君一起去西藏<img alt=""[开学季]"" title=""[开学季]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/72/2021_kaixueji_org.png"" /><img alt=""[开学季]"" title=""[开学季]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/72/2021_kaixueji_org.png"" /><a href=/n/陈丽君_点绛唇 usercard=""name=@陈丽君_点绛唇"">@陈丽君_点绛唇</a>"
爱淘壹号店,辽宁,女,192,921,君君去哪我去哪。
Leslee酷酷的,其他,男,42,424,去！！！！！！！
流年似水959,山东 聊城,男,57,1986,有机会一定去
大灯xyh,山东,女,65,3741,"<a href=""//s.weibo.com/weibo?q=%23%E6%98%A5%E6%99%9A%E9%83%BD%E5%8E%BB%E8%A5%BF%E8%97%8F%E4%BA%86%E6%88%91%E4%B9%9F%E8%A6%81%E5%8E%BB%23"" target=""_blank"">#春晚都去西藏了我也要去#</a><a href=""//s.weibo.com/weibo?q=%23%E9%99%88%E4%B8%BD%E5%90%9B%23"" target=""_blank"">#陈丽君#</a>  君君去过的地方，我也好想去<img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" /><img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" />其实更期待春晚能看到君君<img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" /><img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" />"
爱上陈丽君只需要一秒钟,浙江 绍兴,男,38,933,君君去哪里我就去哪里
naitea奶茶,北京,女,42,1649,"<a href=""//s.weibo.com/weibo?q=%23%E6%98%A5%E6%99%9A%E9%83%BD%E5%8E%BB%E8%A5%BF%E8%97%8F%E4%BA%86%E6%88%91%E4%B9%9F%E8%A6%81%E5%8E%BB%23"" target=""_blank"">#春晚都去西藏了我也要去#</a><a href=""//s.weibo.com/weibo?q=%23%E9%99%88%E4%B8%BD%E5%90%9B%23"" target=""_blank"">#陈丽君#</a>  君君去过的地方，我也要去<img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" /><img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" />"
期盼天明666,河南 平顶山,女,52,2267,君君去过，我也一定要去
吃辣椒的小括号,安徽 芜湖,女,50,505,"你别急，君君去过的地方，我肯定要去<img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" /><img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" />"
-柳絮-,江苏 徐州,女,64,987,"<a href=""//s.weibo.com/weibo?q=%23%E6%98%A5%E6%99%9A%E9%83%BD%E5%8E%BB%E8%A5%BF%E8%97%8F%E4%BA%86%E6%88%91%E4%B9%9F%E8%A6%81%E5%8E%BB%23"" target=""_blank"">#春晚都去西藏了我也要去#</a><a href=""//s.weibo.com/weibo?q=%23%E9%99%88%E4%B8%BD%E5%90%9B%23"" target=""_blank"">#陈丽君#</a>  君君去过的地方，我也好想去<img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" /><img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" />你真的好爱<img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" /><img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" />"
为名而来,其他,女,0,623,"西藏，向往了很久的地方，加上君君也去过，更加想去了，安排<img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" /><img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" /><img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" />"
SSqishi12310,香港 其他,女,343,837,"哈哈哈<img alt=""[爱你]"" title=""[爱你]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/f6/2018new_aini_org.png"" />"
朕来啦,其他,女,155,115,"打卡打卡<img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" /><img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" /><img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" /><img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" />"
人生不只偶尔微甜,其他,男,10,1808,同去同去！
Clj不好说,其他,女,0,289,君君去过的地方都想去
养一朵花吧好吗,其他,女,2,200,有机会真的要去一次西藏
怡然神往c,北京,女,40,4940,转发微博
yuanfang77777,北京 东城区,女,4,508,啊，西藏，离蓝天白云最近的地方，君君开心的飞起，我也想去和君君同款pose……
花果山-望月,其他,女,9,314,"陈丽君<img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" /><img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" /><img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" />"
用户7924941918,其他,女,6,2947,"<a href=""//s.weibo.com/weibo?q=%23%E6%98%A5%E6%99%9A%E9%83%BD%E5%8E%BB%E8%A5%BF%E8%97%8F%E4%BA%86%E6%88%91%E4%B9%9F%E8%A6%81%E5%8E%BB%23"" target=""_blank"">#春晚都去西藏了我也要去#</a><a href=""//s.weibo.com/weibo?q=%23%E9%99%88%E4%B8%BD%E5%90%9B%23"" target=""_blank"">#陈丽君#</a>  君君去过的地方，我也好想去<img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" /><img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" />其实更期待春晚能看到君君<img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" /><img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" />"
用户7968005354,其他,女,0,100,"<a href=""//s.weibo.com/weibo?q=%23%E6%98%A5%E6%99%9A%E9%83%BD%E5%8E%BB%E8%A5%BF%E8%97%8F%E4%BA%86%E6%88%91%E4%B9%9F%E8%A6%81%E5%8E%BB%23"" target=""_blank"">#春晚都去西藏了我也要去#</a><img alt=""[抱一抱]"" title=""[抱一抱]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/af/2020_hug_org.png"" /><a href=""//s.weibo.com/weibo?q=%23%E9%99%88%E4%B8%BD%E5%90%9B%23"" target=""_blank"">#陈丽君#</a>  君君去了，我也好想去"
用户7900139884,其他,男,3,8,"<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />"
一年后重起名字,广东 佛山,女,296,1060,"君君去了我也去<img alt=""[送花花]"" title=""[送花花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/cb/2022_Flowers_org.png"" /><img alt=""[送花花]"" title=""[送花花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/cb/2022_Flowers_org.png"" /><img alt=""[送花花]"" title=""[送花花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/cb/2022_Flowers_org.png"" /><img alt=""[送花花]"" title=""[送花花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/cb/2022_Flowers_org.png"" /><img alt=""[送花花]"" title=""[送花花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/cb/2022_Flowers_org.png"" />"
用户7568618019,其他,女,10,2670,"<a target=""_blank"" href=""https://weibo.com/p/100808e80ddd1f7ca41cb4c8a605cb3c46d560""><img class=""icon-link"" title=""#春晚都去西藏了我也要去[超话]#"" src=""https://h5.sinaimg.cn/upload/100/959/2020/05/09/timeline_card_small_super_default.png""/>春晚都去西藏了我也要去超话</a><a href=""//s.weibo.com/weibo?q=%23%E6%98%A5%E6%99%9A%E9%83%BD%E5%8E%BB%E8%A5%BF%E8%97%8F%E4%BA%86%E6%88%91%E4%B9%9F%E8%A6%81%E5%8E%BB%23"" target=""_blank"">#春晚都去西藏了我也要去#</a> 陈丽君走过的地方，我也想去走走～看看～"
用户7570311760,辽宁 铁岭,女,7,155,"<a href=""//s.weibo.com/weibo?q=%23%E6%98%A5%E6%99%9A%E9%83%BD%E5%8E%BB%E8%A5%BF%E8%97%8F%E4%BA%86%E6%88%91%E4%B9%9F%E8%A6%81%E5%8E%BB%23"" target=""_blank"">#春晚都去西藏了我也要去#</a>我也想去君君去过的地方<img alt=""[哇]"" title=""[哇]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/3d/2022_wow_org.png"" />"
Diane_月白,其他,女,11,712,"<a href=""//s.weibo.com/weibo?q=%23%E6%98%A5%E6%99%9A%E9%83%BD%E5%8E%BB%E8%A5%BF%E8%97%8F%E4%BA%86%E6%88%91%E4%B9%9F%E8%A6%81%E5%8E%BB%23"" target=""_blank"">#春晚都去西藏了我也要去#</a> <a href=""//s.weibo.com/weibo?q=%23%E9%99%88%E4%B8%BD%E5%90%9B%23"" target=""_blank"">#陈丽君#</a> 君君去过西藏了，我也要去<img alt=""[哇]"" title=""[哇]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/3d/2022_wow_org.png"" />"
阿芙落地特,其他,女,15,1791,君君去吗
请叫我皮阿姨,陕西,女,14655,18714,我就想想
就叫我小米,广东,女,123086,32405,想去看看
MD_丽丽汐宁,浙江,女,12277,15069,"<img alt=""[羞嗒嗒]"" title=""[羞嗒嗒]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/df/lxhxiudada_org.gif"" /><img alt=""[羞嗒嗒]"" title=""[羞嗒嗒]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/df/lxhxiudada_org.gif"" /><img alt=""[羞嗒嗒]"" title=""[羞嗒嗒]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/df/lxhxiudada_org.gif"" /><img alt=""[羞嗒嗒]"" title=""[羞嗒嗒]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/df/lxhxiudada_org.gif"" />想去"
4029舒心,广东,女,2096,101463,"<img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" /><img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" /><img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" /><img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" /><img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" />"
毛珍很快乐,香港 其他,女,35,355,哦！終於回港了，放假去了幾天內地玩
LW麽都管,山东 莱芜,男,682,518,言多必失
科技Sexy,其他,男,610623,12034,偷图你是有一手
刘学义一心一义,山西,女,15184,7097,"风景太美了，希望能有机会去看看<img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" />"
·梦境祺遇·,湖北 武汉,女,5227,26476,景色好美啊好好看
記訸,湖北,女,16023,4481,风景好美啊
孟婆汤不解渴了吧,广东 中山,女,1381,2138,"哇塞，真美呀，好想去打卡<img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" /><img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" />"
夏日海橘酱,其他,女,3,86,"哇塞这风景也太美了吧<img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" />"
滁州文化旅游,安徽,男,34988,30966,"晚安<img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" /><a target=""_blank"" href=""https://weibo.com/3834088823/5115906279870867""><img class=""icon-link"" title=""http://t.cn/A6ubgmbL"" src=""https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_weibo_default.png""/>微博正文</a>"
