昵称,地区,性别,粉丝数,用户发布微博数量,评论
微博旅行家,北京,男,809260,11941,"冬日旅行精彩不停，快加入<a href=""//s.weibo.com/weibo?q=%23%E5%BE%AE%E5%8D%9A%E6%97%85%E8%A1%8C%E5%AE%B6%23"" target=""_blank"">#微博旅行家#</a>分享你的旅行体验。添加<a href=""//s.weibo.com/weibo?q=%23%E5%BE%AE%E5%8D%9A%E6%97%85%E8%A1%8C%E5%AE%B6%23"" target=""_blank"">#微博旅行家#</a>话题词将有机会获得曝光资源、红包惊喜！了解更多戳&gt;&gt; <a target=""_blank"" href=""https://m.weibo.cn/c/wbox?id=9d1inpvbc1&outid=60f50600c81713436020&src=by1""><img class=""icon-link"" title=""http://t.cn/A6HVQi2d"" src=""https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png""/>网页链接</a>"
静候8888,河北,男,2712,10,这就叫拍的好？还给个热搜？大上海，没有棒子他们，也照样好看，别回去了又偷东西啊
小丸子_ppx,四川 成都,女,518,511,他们没拍出上海的美，真实比这好看
木木大人早上好,江苏 南京,女,492,2301,这种照片和美女，小某书上一抓一大把，至于这么捧他们么？显得和韩国人一样没出过门似的。
轩蜀黍,北京 海淀区,男,311,1890,棒粉又发癫了
亮仔妈咪Tracy,上海 普陀区,女,245,833,"棒子叽叽喳喳吵瑟了，刚在饭店吃饭就碰到一群棒子，对着菜左拍右拍，真是乡巴子进城没见过世面似的<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" /><img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />"
CoaddN_,广东 汕头,女,34,3277,"确实好看 但是上海本来就美啊<img alt=""[摊手]"" title=""[摊手]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/62/2018new_tanshou_org.png"" />"
zzxcsy,其他,女,9,48,韩国人滚
王白石yanbi,海外,女,37,1,"这几天怎么天天都是韩国<img alt=""[二哈]"" title=""[二哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/22/2018new_erha_org.png"" />"
箭o_O鱼,广东 茂名,男,217,2365,"为什么单拎韩国人拍照好看的话题出来<img alt=""[并不简单]"" title=""[并不简单]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/aa/2018new_bingbujiandan_org.png"" />"
下有休思,湖南,女,85,984,"中国这么多美女是看不见吗<img alt=""[裂开]"" title=""[裂开]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/1b/202011_liekai_org.png"" />"
看我通臂拳,其他,男,1,0,"回去后，韩国的上海洞发展的不错<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />"
是真oo不是假,上海,男,97,12,是多不会拍，就这么舔啊
刘四天,湖南 长沙,女,104,36,"韩国人会不会觉得我们土土的<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />"
甜甜有钱阿,重庆 江北区,女,474,8716,她们露肚鸡眼儿不冷吗？
阿阿白牙,浙江 杭州,女,300,157,你好舔他们啊
十七海上,贵州 六盘水,男,13,48,主观代表不了客观
牧云皇子,其他,男,52,100,开美颜
夏目u人帐,山东,男,249,383,"摄影三要素<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />"
金鱼爱吃地瓜,其他,女,340,89,韩国人又在营销了
kiki0806,上海 杨浦区,女,45,5,"他们确实会拍，就算是个破牛棚，也能拍出大片感<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />"
眼厎星空,其他,男,20,69,"挺好的，这波给自己做了营销，让这些自诩大国知道自己井底之蛙的样子有多可笑<img alt=""[吃瓜]"" title=""[吃瓜]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/01/2018new_chigua_org.png"" />"
歇斯底里少年,海外,女,403,432,额，just soso
魔仙堡在逃小黄,其他,女,2,1845,。。。国内网红拍的不比它们差   还长的漂亮。。。
柒阿柒柒,湖北 武汉,女,170,252,"你们别说上海是韩国的就行了，拍照拍吧<img alt=""[喵喵]"" title=""[喵喵]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/7b/2018new_miaomiao_org.png"" />"
桑榆未晚-S,其他,女,93,292,这个就是会拍吗，会拍还拍那么丑，倒也不必硬夸
小LLii,浙江,女,156,900,❓
整容老茄子,其他,女,2,503,真的很会拍
一切随缘爱谁谁,甘肃 兰州,女,75,1510,"不停的营销啊<img alt=""[挖鼻]"" title=""[挖鼻]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/9a/2018new_wabi_thumb.png"" /><img alt=""[挖鼻]"" title=""[挖鼻]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/9a/2018new_wabi_thumb.png"" /><img alt=""[挖鼻]"" title=""[挖鼻]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/9a/2018new_wabi_thumb.png"" />"
壑翮蓦,其他,女,78,505,韩国人真的是氛围感的神
黑糖珍珠奶茶不要珍珠,北京,女,6332,1414,"我们去釜山坐游艇 上面韩国小哥可以帮拍照片 真的拍的挺好 就是很会找角度 很认真 不过我觉得我老公拍的也很好<img alt=""[哈哈]"" title=""[哈哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8f/2018new_haha_org.png"" />"
豹紋1733,其他,女,50,2019,到底谁能用ins啊 此时一个小女孩轻轻的问
不改清寒,海外,男,298,1853,美国的🐶说得高大上？我们中国的妹子比她们好多了
简简单单向日葵女王_,其他,男,46,688,"<a href=/n/Juutong usercard=""name=@Juutong"">@Juutong</a> 感觉是技术问题"
Danny伸出手吧,广东 广州,女,405,975,韩国人买的热搜吗，有啥好
OriginalBloodFamily_,其他,男,6,0,nini li 哈哈 我也关注了
去沙漠看最亮的星星,其他,女,102,636,"站起来吧<img alt=""[费解]"" title=""[费解]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/2a/2018new_wenhao_org.png"" />就这就很会拍了<img alt=""[费解]"" title=""[费解]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/2a/2018new_wenhao_org.png"" /><img alt=""[费解]"" title=""[费解]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/2a/2018new_wenhao_org.png"" /><img alt=""[费解]"" title=""[费解]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/2a/2018new_wenhao_org.png"" />"
想飞的小乌龟_啦,辽宁 丹东,女,173,283,第一个韩国小姐姐是嫁到我们大丹东的网红
江不江Z,上海 杨浦区,男,309,264,"<a href=/n/一口一个小猫猫 usercard=""name=@一口一个小猫猫"">@一口一个小猫猫</a> 韩国人真漂亮<img alt=""[泪]"" title=""[泪]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" /><img alt=""[泪]"" title=""[泪]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" /><img alt=""[泪]"" title=""[泪]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" />"
蜜糖_Arya,湖南,女,150,496,"韩国人连拍熊猫都带滤镜<img alt=""[吃瓜]"" title=""[吃瓜]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/01/2018new_chigua_org.png"" />"
博君一逍20190627,北京 东城区,男,4,10,"吹你妈呢<img alt=""[疑问]"" title=""[疑问]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/b8/2018new_ningwen_org.png"" />"
KIRS希,澳门 其他,男,21,677,"首先颜值要过关<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />"
wbbbobiabia,广西 南宁,男,123,130,有病的词条
Pf几多愁先生,上海,男,168,2081,"虹泉路那边<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" /><img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />  都是思密达"
xxxscallops,其他,女,180,1240,韩女到底是用什么拍照的
法打,陕西 西安,男,2784,1883,挺好的啊又不是黑，没必要喷啥吧
xiaolajiaosze,其他,女,153,646,棒子能不能滚
想要的宠物是你,云南,男,2,26,没跪下来求人家教你？
嘿哈嘿哈喔哦,四川 成都,男,0,9,那么会拍去给自拍申遗 别老惦记我们老祖宗的东西
止咳牌椰汁,其他,女,3,18,"<a href=/n/老坛衫菜子的QQ空间 usercard=""name=@老坛衫菜子的QQ空间"">@老坛衫菜子的QQ空间</a> 在地铁上都轻轻松松出片了<img alt=""[傻眼]"" title=""[傻眼]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/dd/2018new_shayan_org.png"" />"
dyj50919,其他,男,23,87,一般般
世中仙儿橘子酱,贵州 贵阳,女,1726,223,"羡慕她们皮肤好是真的！！！<img alt=""[苦涩]"" title=""[苦涩]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/7e/2021_bitter_org.png"" />羡慕韩国人皮肤，羡慕香港人皮紧。<img alt=""[苦涩]"" title=""[苦涩]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/7e/2021_bitter_org.png"" /><img alt=""[苦涩]"" title=""[苦涩]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/7e/2021_bitter_org.png"" /><img alt=""[苦涩]"" title=""[苦涩]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/7e/2021_bitter_org.png"" /><img alt=""[苦涩]"" title=""[苦涩]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/7e/2021_bitter_org.png"" /><img alt=""[苦涩]"" title=""[苦涩]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/7e/2021_bitter_org.png"" />"
米奇朵朵熊,四川,女,4,49,硬夸
金陵副将a,江苏 南京,男,1,1,弱智热搜
Juffer丶,江苏 无锡,男,1680,157,"是真的，我在瑞士旅游的时候专门找韩国人帮忙拍照<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />"
uu发财致富ovo,江苏,女,181,148,这个不是韩国欧尼那个网红吗
无边风月-,陕西 宝鸡,女,1543,695,天塌了，怎么那么松弛
x呱唧呱唧呱唧z,江苏,女,128,47,韩国人啊，很正常，没见过世面的是这样的
等壹场落雨,海外,女,135,497,韩国人是真抗冻
OnPeriphery,其他,男,6,2,这人怎么长得一模一样
多变的眩晕洋葱,江西 赣州,女,191,112,"韩女真的漂亮<img alt=""[泪]"" title=""[泪]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" />"
水光潋滟方晴好,其他,女,1,116,"真抗冻啊<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />"
Everygreen_ay,其他,女,161,336,冷死🥶
梨子汁er,海外,女,114,17,脑瘫吧你
Wraith1886,海外,男,338,400,"别等回到韩国她们又说（魔都）也是韩国的一部分。这～这～这就有点摸不着头脑了。棒子们<img alt=""[跪了]"" title=""[跪了]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/75/2018new_gui_org.png"" /><img alt=""[跪了]"" title=""[跪了]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/75/2018new_gui_org.png"" /><img alt=""[跪了]"" title=""[跪了]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/75/2018new_gui_org.png"" /> "
playgardenn,江苏,女,189,519,"<a href=/n/今天想喝一点点奈雪的喜茶 usercard=""name=@今天想喝一点点奈雪的喜茶"">@今天想喝一点点奈雪的喜茶</a> 你别说他们hgr拍的怪好看的"
居居你说sa啊,其他,女,115,1015,毕竟韩国个破小水沟子都能拍成大瀑布，上海这他们高低能给拍成赛博朋克风
洛辰Vanessa希热格桑,四川 成都,女,567,341,烦死了，为什么一直在热搜榜上，谁特么棒子拍得怎么样
哈哈不嘻嘻g,上海,女,0,45,哦，谁买的热搜，🐶
给我口菜苗,宁夏,男,2,2,"<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />"
用户7950034000,其他,女,0,1,没看出来多会拍，这种棒子也舔，真是无语
用户7642456455,广东 深圳,男,0,32,国内的美女随便拍也好看啊，这也能捧棒子啊
用户5521824148,其他,男,0,85,"中国大把人拍的比这好，这有啥好热搜的<img alt=""[摊手]"" title=""[摊手]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/62/2018new_tanshou_org.png"" />"
用户7924205575,其他,女,10,4,所以你是fw吗
一壸浊酒,北京,女,0,4,主要人家好看吧，身材不畸形，国内的美女圈子太畸形了。以萝莉，白幼瘦，夹子大腿内八为美，请问，那是啥破玩意呀，有的为了拍视频。整挺大屁股，挺大灯，小腰像麻杆一样，好看？？？
夏天热成雪糕,北京 朝阳区,女,138,4621,回去就说上海是韩国的
杨songll,其他,男,2866,163,多来消费
BND146云朴山,福建 福州,女,15,968,他们以后不会把这个旧址当成是他们的领土吧？
嘿曼巴狂人,北京,女,17983,3386,属于韩国人的爱国教育。
超大毛熊,北京 海淀区,男,1128,4588,韩国人均一天3杯冰美式咖啡，5万韩国人喝的咖啡能顶整个上海，瑞幸要发大财了！！
-我没有菱角,其他,女,67,1113,"我怎么记得杭州也有一个<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />"
碎碎饼干碎,福建 厦门,女,185,406,"ig上所有韩国人都去的是一家店，甚至点的菜都一样，一天能刷到好几个，刚开始我以为是反复刷到一个人<img alt=""[老师好]"" title=""[老师好]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/0d/2022_Teacher_org.png"" />"
就想开心点儿,其他,男,91,662,干嘛要给他留着旧址，拆了
铁牛luck,其他,女,1998,16538,原来是这样
阴雨潜入五月,广东 深圳,男,102,504,"<a href=/n/甜辣芥末小烤鱼 usercard=""name=@甜辣芥末小烤鱼"">@甜辣芥末小烤鱼</a> 我都没去过上海"
橙子该去学习了,北京,男,1156,463,我要去看看
烂尾ge,北京,男,374,12247,我也想去
-以后的从前,其他,女,322,24108,欢迎
千悦网络,广东,男,2173,661,"<img alt=""[good]"" title=""[good]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_good_org.png"" />"
风信摇情,甘肃,男,11604,9747,"<a href=/n/叶聆林声 usercard=""name=@叶聆林声"">@叶聆林声</a> 评论区有些人好好笑啊"
窝DLin,其他,男,56,153,看上海是韩国的
月沉风雨,山东 济宁,男,24,37,大家不要冷嘲热讽，有机会可以去看看。上海和杭州的韩国临时政府旧址我都去过，每个旧址都用详细史料记载了韩国人反对日本殖民侵略的历史，告诫现在的韩国人要不忘初心牢记使命，永远铭记小日本的血海深仇。现在韩国媚日思潮浓重，韩国青年多来看一看，也能清醒一点，对我们讲好中国故事也是有好处的
养儿育女马保国,河南 郑州,男,44,1945,那岂不成了上海最吵吵的地方了
求锦鲤沐,其他,女,45,20,"这下更得说中国是韩国的了<img alt=""[哆啦A梦害怕]"" title=""[哆啦A梦害怕]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/35/2022_dorashock_org.png"" />"
钧鉴理,湖北 武汉,男,193,314,这个空调外机有点煞风景，建议给点面子，移除了吧。
Cecilia108,海外 意大利,女,517,627,大韩民国临时政府这么多？ 重庆也有一个
一只雅子-,北京 东城区,女,1776,705,"他们不会把这个当作征服过上海的证据啊<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" /><img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" /><img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" /><img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />"
U拉啦辣酱,海外 英国,女,555,1316,"<a href=/n/wwww_312 usercard=""name=@wwww_312"">@wwww_312</a>"
小芽变嫩草,江西,女,15,196,"<img alt=""[good]"" title=""[good]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_good_org.png"" />"
收拾书包第二名,北京,女,90,391,"<a href=/n/吃零食高手 usercard=""name=@吃零食高手"">@吃零食高手</a> 咱们去上海的时候经过了这里！"
焦糖玛奇朵咖啡配牛奶,其他,女,414,20674,"不会又想偷了吧<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />"
臭大芊的suzy辣妈,北京 海淀区,女,482,7019,这个旧址不正是打脸它们嘛
無味觀瞻,其他,男,374,1,建议收费
刘小宁,北京,女,9933,11393,🦴：自古以来就是
PE1LIN,其他,女,332,1324,"<a href=/n/小六也是Soph usercard=""name=@小六也是Soph"">@小六也是Soph</a>"
云淡风轻OO7,上海 宝山区,男,16,164,认祖归宗？
aroyaiii,其他,女,140,8730,"韩国也有自己的耶路撒冷<img alt=""[爱你]"" title=""[爱你]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/f6/2018new_aini_org.png"" />"
你的小祖宗我呀,浙江,女,141,179,希望大家多多来消费
杭州弄堂小赤佬,浙江,男,275,3022,杭州也有
赌你不知道mf版,浙江 杭州,男,799,5387,图片评论 
女怪物M,其他,女,1269,17899,这在他们的角度很正常吧…我们要是有我也可能去打卡 在外总想找一些和自己有联系的地方
黄金花栗鼠,其他,女,2738,2176,"回复<a href=/n/超大毛熊 usercard=""name=@超大毛熊"">@超大毛熊</a>:难说 他们三杯咖啡因顶不上瑞幸一杯   淡的要死"
Kimsionhee,其他,男,248,1202,"为啥会有韩国临时政府 历史没这段啊 谁科普一下<img alt=""[吃惊]"" title=""[吃惊]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/49/2018new_chijing_org.png"" />"
林音风暴,安徽 马鞍山,男,7007,23877,"既然你韩国政府在中国<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" /><img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" /><img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />那说自古以来，韩国就是中国一部分，也可以吧<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" /><img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" /><img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />"
命运之强手,其他,男,12,93,有没有凑热闹的
银河罗小黑来吃西瓜嘿咻,其他,女,378,8902,评论区嘲讽调休的小鬼给我看笑了，以为自己多幽默。这么爱韩嘛
叁月柒伐是俱乐部额天才,上海,女,578,13401,热知识，这个韩国临时政府旧址隔壁就是一大会址。
lynkdjwlskwsjdlaq,海外,男,333,3256,咱说实话 棒子有什么历史啊 一面骂咱们一面来这玩 跟没见过世面一样造水果
捣包,河南 周口,男,88,3424,他们不会拿去申遗吧？
0_shmily_0,北京,女,46,876,完了，这里马上要变成上海属于韩国的证据了
这b世界是个巨大的生煎包,其他,女,109,19807,棒子能不能滾。。。。
此昵稱曾存在,江苏 盐城,女,74,92,图一我看见很多韩国人在门口
littlenanahachiii,其他,男,0,77,好土的韩国人
白风不灭,其他,女,26,1925,？上海和韩国有什么渊源吗
仿真人梦到电子羊,其他,女,705,8,"<a href=/n/unlxm usercard=""name=@unlxm"">@unlxm</a>"
榕树与海,北京,男,7,397,思密达啊
少女桃奈奈,北京,女,120,185,"回去又说上海以前是他们的<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />"
虔州小郡主Annie,湖南 张家界,女,0,26,日韩🐶的野心就是吞没中国
向北舒畅一对卧龙凤雏,其他,女,1,4,来中国玩的kr都是好kr 多来欢迎
时尚女神1aura1,海外 美国,女,443,5193,韩国战狼
V饱饱ouo,上海 浦东新区,女,1021,299,"<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />每一个人真的一眼韩国人"
小河芋圆,其他,女,5,1034,毕竟从村里来的 让让他们吧
好听的声音啊,广东 东莞,女,107,194,"p1的她到底冷不冷呀<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />"
石榴树下的一枚,上海 浦东新区,女,67,533,朝圣之地
南巷雨-Ryan,安徽,男,7,58,来玩消费可以，别赖赖哔哔的乱说话
仐屮艸芔茻,广东,男,2771,1506,"自古以来<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />"
吹着奇怪的风,广东 广州,男,355,117,"哈哈哈哈哈哈哈哈，韩国人真的好吵<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />"
阿烫的老北鼻,上海 浦东新区,男,1767,3906,"上海源于韩国<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />"
爱斯好好好,安徽,男,3,1,什么时候中国去韩国免签
暗部-緑間真太郎,其他,男,917,376,"这是我们大韩民国的的的国土<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" /><img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" /><img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" /><img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />"
倚风凝睇,上海 浦东新区,女,580,7660,没有免签的时候，这里也这么多韩国人的
我是西瓜-,其他,女,150,1128,"不敢想象这个地方有多吵<img alt=""[淚]"" title=""[淚]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" />"
没有感情的料理机,江苏 南京,男,188,2701,"快进到申请上海属于韩国<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />"
Indangerrr,其他,女,33,1483,"<a href=/n/我想吃海底捞火锅 usercard=""name=@我想吃海底捞火锅"">@我想吃海底捞火锅</a> 韩国人来上海玩吗"
躺躺躺然后我不做人了,河北,女,2,49,好怕他们最后说上海他们的……
N重不努力试验,重庆,男,100,65,重庆也有一个韩国临时政府旧址，好像是三几年从上海迁过来的
C做自己or,福建 福州,男,263,742,"到时候就是上海原本是韩国的<img alt=""[微笑]"" title=""[微笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e3/2018new_weixioa02_org.png"" />"
babybebrave,上海 徐汇区,女,592,3313,"最近周末去迪士尼 排队前前后后的都是韩国人<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />"
笔名曰清商,甘肃 武威,男,168,238,韩国流亡政府旧址是重庆不是上海，
现在也有,山东 济南,男,13,2,第一个小姐姐真好看
